41,,7,75,39.84813499
43,,8,7,
41,,9,,
39,,10,,
41,,11,,
35,,12,,
56,,13,,
28,,14,,
41,,15,,
24,,16,,
41,,17,,
37,,18,,
43,,19,,
52,,20,,
37,,21,,
37,,22,,
41,,23,,
39,,24,,
22,,25,,
22,,26,,
43,,27,,
43,,28,,
60,,29,,
22,,30,,
49,,31,,
35,,32,,
43,,33,,
22,,34,,
43,,35,,
37,,36,,
37,,37,,
39,,38,,
41,,39,,
41,,40,,
37,,41,,
35,,42,,
52,,43,,
39,,44,,
54,,45,,
41,,46,,
39,,47,,
39,,48,,
39,,49,,
47,,50,,
37,,51,,
37,,52,,
9,,53,,
41,,54,,
58,,55,,
54,,56,,
31,,57,,
33,,58,,
58,,59,,
26,,60,,
39,,61,,
60,,62,,
39,,63,,
47,,64,,
62,,65,,
50,,66,,
39,,67,,
41,,68,,
35,,69,,
22,,70,,
39,,71,,
35,,72,,
24,,73,,
71,,74,,
50,,75,,
26,,,,
33,,,,
50,,,,
22,,,,
43,,,,
41,,,,
41,,,,
52,,,,
50,,,,
35,,,,
39,,,,
43,,,,
35,,,,
35,,,,
46,,,,
35,,,,
37,,,,
62,,,,
45,,,,
39,,,,
20,,,,
45,,,,
52,,,,
50,,,,
66,,,,
22,,,,
45,,,,
37,,,,
43,,,,
37,,,,
33,,,,
66,,,,
39,,,,
39,,,,
41,,,,
22,,,,
54,,,,
45,,,,
45,,,,
22,,,,
24,,,,
60,,,,
60,,,,
56,,,,
35,,,,
45,,,,
39,,,,
62,,,,
22,,,,
35,,,,
37,,,,
54,,,,
56,,,,
26,,,,
39,,,,
39,,,,
56,,,,
41,,,,
33,,,,
37,,,,
37,,,,
43,,,,
64,,,,
39,,,,
39,,,,
39,,,,
56,,,,
43,,,,
47,,,,
22,,,,
41,,,,
73,,,,
35,,,,
52,,,,
37,,,,
18,,,,
26,,,,
35,,,,
22,,,,
20,,,,
26,,,,
28,,,,
24,,,,
31,,,,
41,,,,
26,,,,
24,,,,
48,,,,
43,,,,
28,,,,
54,,,,
62,,,,
30,,,,
41,,,,
41,,,,
41,,,,
22,,,,
22,,,,
37,,,,
39,,,,
41,,,,
43,,,,
58,,,,
33,,,,
39,,,,
39,,,,
39,,,,
71,,,,
24,,,,
24,,,,
26,,,,
35,,,,
43,,,,
50,,,,
54,,,,
35,,,,
26,,,,
37,,,,
29,,,,
43,,,,
30,,,,
24,,,,
40,,,,
22,,,,
66,,,,
22,,,,
39,,,,
28,,,,
35,,,,
35,,,,
26,,,,
43,,,,
54,,,,
37,,,,
41,,,,
37,,,,
39,,,,
45,,,,
37,,,,
9,,,,
39,,,,
28,,,,
41,,,,
22,,,,
41,,,,
35,,,,
35,,,,
58,,,,
37,,,,
33,,,,
41,,,,
62,,,,
37,,,,
37,,,,
37,,,,
29,,,,
54,,,,
22,,,,
20,,,,
35,,,,
20,,,,
37,,,,
37,,,,
35,,,,
31,,,,
62,,,,
33,,,,
58,,,,
54,,,,
41,,,,
48,,,,
24,,,,
54,,,,
43,,,,
58,,,,
52,,,,
56,,,,
66,,,,
41,,,,
22,,,,
22,,,,
45,,,,
37,,,,
31,,,,
33,,,,
58,,,,
35,,,,
24,,,,
54,,,,
43,,,,
37,,,,
37,,,,
37,,,,
37,,,,
43,,,,
50,,,,
20,,,,
37,,,,
26,,,,
37,,,,
39,,,,
58,,,,
20,,,,
39,,,,
62,,,,
33,,,,
43,,,,
47,,,,
48,,,,
66,,,,
39,,,,
37,,,,
43,,,,
39,,,,
43,,,,
37,,,,
41,,,,
37,,,,
52,,,,
52,,,,
31,,,,
37,,,,
37,,,,
43,,,,
20,,,,
50,,,,
35,,,,
50,,,,
29,,,,
39,,,,
16,,,,
39,,,,
24,,,,
41,,,,
41,,,,
35,,,,
58,,,,
39,,,,
45,,,,
